team_abbreviation,full_team_name,tag,region,country,country_code,rank,score,record,earnings,founded_year,game,logo_url
Q1KP,Spx Crew,Q1KP,Latin America North,Costa Rica,,12,1645.0,3–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1CX,Rebirth Esports,Y1CX,Latin America North,Chile,,13,1639.0,15–12,2400.0,,Valorant,https://owcdn.net/img/5eff245789727.png
T1O5,FUEGO,T1O5,Latin America North,Colombia,,14,1625.0,3–6,0.0,,Valorant,https://owcdn.net/img/678f90b7b65e5.png
Y133,Old School Kr3w,Y133,Latin America North,Venezuela,,15,1622.0,0–1,0.0,,Valorant,https://owcdn.net/img/63ce2e10abd32.png
V1E5,Chivas Esports,V1E5,Latin America North,Mexico,,16,1617.0,8–9,700.0,,Valorant,https://owcdn.net/img/63ce2eedbe573.png
Q1MG,Bon Bon Bum Contra,Q1MG,Latin America North,Colombia,,17,1614.0,12–12,400.0,,Valorant,https://owcdn.net/img/66572b1da4d79.png
T1MG,ShindeN,T1MG,Latin America North,Argentina,,18,1597.0,2–7,0.0,,Valorant,https://owcdn.net/img/6748dec4df18c.png
Y1LY,ILLICIT,Y1LY,Latin America North,Colombia,,19,1588.0,1–3,0.0,,Valorant,https://owcdn.net/img/63ce2d73c0387.png
Y1NP,Atlantis Esports,Y1NP,Latin America North,International,,20,1584.0,0–6,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1MG,CINTANEGRA Esports,W1MG,Latin America North,Mexico,,21,1560.0,4–8,400.0,,Valorant,https://owcdn.net/img/6791cbc90c3cd.png
MAM,LEVIATÁN,MAM,Latin America South,Chile,,1,2000.0,20–13,536773.0,,Valorant,https://owcdn.net/img/61b8888cc3860.png
VYF,KRÜ Esports,VYF,Latin America South,Argentina,,2,1908.0,15–13,110000.0,,Valorant,https://owcdn.net/img/63976677069e1.png
X1F9,9z Team,X1F9,Latin America South,Chile,,3,1738.0,6–2,30000.0,,Valorant,https://owcdn.net/img/65e447b0c2415.png
QVW,LEVIATÁN Academy,QVW,Latin America South,Chile,,4,1706.0,17–11,15743.0,,Valorant,https://owcdn.net/img/61b8888cc3860.png
V1L6,Nottingham Miedo,V1L6,Latin America South,Argentina,,5,1617.0,16–9,1000.0,,Valorant,https://owcdn.net/img/65ca13815a472.png
W1MA,Australs,W1MA,Latin America South,Chile,,6,1594.0,5–3,700.0,,Valorant,https://owcdn.net/img/6055063c3a691.png
A1N5,MixPe,A1N5,Latin America South,Chile,,7,1594.0,5–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1NI,Kaos Latin Gamers,A1NI,Latin America South,Chile,,8,1588.0,4–2,0.0,,Valorant,https://owcdn.net/img/600b19ed2c674.png
B1N6,Retiraos,B1N6,Latin America South,International,,9,1585.0,5–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1N7,Dolphins Gaming,Y1N7,Latin America South,Chile,,10,1578.0,5–3,0.0,,Valorant,https://owcdn.net/img/67b8d1de2d8eb.png
A1EJ,Warning!,A1EJ,Latin America South,International,,11,1570.0,0–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1O3,OXEN,Q1O3,Latin America South,Chile,,12,1567.0,4–4,0.0,,Valorant,https://owcdn.net/img/62cdc31a970d0.png
X1O0,Zen eSports,X1O0,Latin America South,Chile,,14,1563.0,3–4,0.0,,Valorant,https://owcdn.net/img/6434f4811e5d6.png
W1N4,Eternal Flame,W1N4,Latin America South,Chile,,15,1552.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1N7,inside,V1N7,Latin America South,International,,16,1548.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1AH,Stone Esports,Y1AH,Latin America South,Argentina,,17,1473.0,0–0,714.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W173,LRV Esports,W173,Latin America South,Argentina,,18,1470.0,4–3,1429.0,,Valorant,https://owcdn.net/img/64ea24413a898.png
Q1EJ,Las Cabras,Q1EJ,Latin America South,Argentina,,19,1417.0,3–11,0.0,,Valorant,https://owcdn.net/img/678f8fb104100.png
Q8A,The Ultimates,Q8A,MENA,Saudi Arabia,,1,2000.0,65–9,247457.0,,Valorant,https://owcdn.net/img/65cb2b05be39e.png
Q1F5,R8 Esports,Q1F5,MENA,Saudi Arabia,,2,1848.0,24–10,15000.0,,Valorant,https://owcdn.net/img/65cfb387a8a30.png
AGD,Team RA'AD,AGD,MENA,Egypt,,3,1832.0,19–9,96286.0,,Valorant,https://owcdn.net/img/61d48692758bc.png
TYZ,RvN,TYZ,MENA,Kuwait,,4,1801.0,20–11,13700.0,,Valorant,https://owcdn.net/img/67c3a183a504a.png
ATS,NASR Esports,ATS,MENA,Europe,,5,1799.0,19–9,34731.0,,Valorant,https://owcdn.net/img/61d485d346ed5.png
YR5,Geekay Esports,YR5,MENA,Saudi Arabia,,6,1692.0,0–0,36295.0,,Valorant,https://owcdn.net/img/6119307c4a6dd.png
A1KQ,AlQadsiah Esports,A1KQ,MENA,Saudi Arabia,,7,1668.0,12–6,34626.0,,Valorant,https://owcdn.net/img/672b6e5ef0749.png
A1HH,Gamax Esports,A1HH,MENA,Egypt,,8,1662.0,7–6,825.0,,Valorant,https://owcdn.net/img/64c0df3369bcd.png
M1F9,Onyx Ravens,M1F9,MENA,Saudi Arabia,,9,1611.0,23–24,18647.0,,Valorant,https://owcdn.net/img/63ceaab05171d.png
V1IO,OG,V1IO,MENA,International,,10,1608.0,6–1,2000.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1KQ,DRAGONS,Y1KQ,MENA,Saudi Arabia,,11,1597.0,9–9,25305.0,,Valorant,https://owcdn.net/img/6765a475282f2.png
ZGD,Fraggerz,ZGD,MENA,United Arab Emirates,,12,1581.0,8–15,32615.0,,Valorant,https://owcdn.net/img/644636258ad70.png
W170,5KStudios,W170,MENA,Egypt,,13,1579.0,0–0,408.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1IO,manga,M1IO,MENA,International,,14,1577.0,5–1,1000.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1IP,Victorious Demons,X1IP,MENA,Algeria,,15,1577.0,4–1,500.0,,Valorant,https://owcdn.net/img/669dc55ba681c.png
W184,Twisted Minds,W184,MENA,Saudi Arabia,,16,1572.0,31–34,25207.0,,Valorant,https://owcdn.net/img/64cca8a13521a.png
W186,GnG Esports,W186,MENA,Tunisia,,17,1568.0,0–0,800.0,,Valorant,https://owcdn.net/img/65cb340b03017.png
Q1KQ,XO Esports,Q1KQ,MENA,Saudi Arabia,,18,1549.0,5–6,0.0,,Valorant,https://owcdn.net/img/662d59d2eb2b5.png
V1H4,Ghools Esports,V1H4,MENA,Tunisia,,19,1536.0,3–4,0.0,,Valorant,https://owcdn.net/img/6564d293b8424.png
Z19O,Gamax ACD,Z19O,MENA,Egypt,,20,1532.0,0–0,1000.0,,Valorant,https://owcdn.net/img/64c0df3369bcd.png
V1KQ,Oceann,V1KQ,MENA,Saudi Arabia,,21,1524.0,3–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W10V,NASR Academy,W10V,MENA,Saudi Arabia,,22,1523.0,0–0,1000.0,,Valorant,https://owcdn.net/img/61d485d346ed5.png
Z1CE,top gz,Z1CE,MENA,Egypt,,23,1514.0,7–12,3720.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1F5,Contractless,M1F5,MENA,International,,24,1499.0,6–6,600.0,,Valorant,https://owcdn.net/img/65cf9afb65a85.png
T1KQ,RobotAim,T1KQ,MENA,Saudi Arabia,,25,1497.0,2–6,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1F0,NextStart Gaming,A1F0,MENA,International,,26,1496.0,1–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
BVK,Linx Legacy,BVK,MENA,Algeria,,27,1488.0,0–0,500.0,,Valorant,https://owcdn.net/img/631f725aeac61.png
B1CE,Wadi,B1CE,MENA,International,,28,1486.0,0–0,1000.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1HN,KR Esports,Y1HN,MENA,Saudi Arabia,,29,1448.0,3–12,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1KQ,Valley of Heroes,W1KQ,MENA,Saudi Arabia,,30,1438.0,0–8,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W13L,Team Majesty,W13L,MENA,Egypt,,31,1393.0,0–0,600.0,,Valorant,https://owcdn.net/img/5fac00bed806f.png
X1HN,G3 Esports,X1HN,MENA,Saudi Arabia,,32,1388.0,0–14,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z13L,Ashur Esports,Z13L,MENA,International,,33,1316.0,0–0,600.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1F5,Skulls Esports,B1F5,MENA,Algeria,,34,1260.0,0–22,1200.0,,Valorant,https://owcdn.net/img/63e45c0feda97.png
QSE,JiJieHao,QSE,Oceania,Australia,au,1,2000.0,26–7,52444.0,,Valorant,https://owcdn.net/img/642afe112f136.png
ZYM,Next Gen,ZYM,Oceania,Australia,au,2,1896.0,23–9,25504.0,,Valorant,https://owcdn.net/img/6749e4bba8dc6.png
QOP,FOCUSGG,QOP,Oceania,Australia,au,3,1882.0,26–9,14884.0,,Valorant,https://owcdn.net/img/65eda1dd540aa.png
X1AM,Kebab Clan,X1AM,Oceania,Australia,au,4,1857.0,34–11,19907.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1FJ,BOBO,Z1FJ,Oceania,Australia,au,5,1714.0,19–12,1500.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1HS,Hornswogglers,Y1HS,Oceania,Australia,au,6,1695.0,12–9,2250.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1LA,YONKO,B1LA,Oceania,Australia,au,7,1653.0,7–4,286.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1OH,Diddy's Playhouse,V1OH,Oceania,Australia,au,8,1650.0,6–0,430.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1H5,Peace And Love,B1H5,Oceania,Australia,au,9,1649.0,7–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1LA,Acai Underworld,T1LA,Oceania,Australia,au,10,1645.0,4–4,1000.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q14H,iPGN,Q14H,Oceania,Australia,au,11,1643.0,14–11,7238.0,,Valorant,https://owcdn.net/img/65e6d797c2391.png
Z1J0,Rub n' Pug,Z1J0,Oceania,Australia,au,12,1642.0,7–6,750.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1B2,Estio eSports,X1B2,Oceania,Australia,au,13,1630.0,13–7,323.0,,Valorant,https://owcdn.net/img/65e6d8b98a606.png
W1FG,the burgers,W1FG,Oceania,International,,14,1624.0,5–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1IF,Stacked Like Pancakes,Y1IF,Oceania,Australia,au,15,1613.0,7–3,200.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1FI,Funcrew,V1FI,Oceania,Australia,au,16,1610.0,8–5,0.0,,Valorant,https://owcdn.net/img/5fba3c30b5887.png
V1KX,BITEKI,V1KX,Oceania,Australia,au,17,1609.0,4–3,240.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1OH,Wolf Pack,B1OH,Oceania,Australia,au,18,1608.0,6–2,129.0,,Valorant,https://owcdn.net/img/66458eeee3f14.png
T1KF,Sumthin Dumplin,T1KF,Oceania,Australia,au,19,1605.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X10D,Slice of Life,X10D,Oceania,Australia,au,20,1600.0,11–8,259.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1OI,Eternal Valor Esports,A1OI,Oceania,Australia,au,21,1599.0,4–2,215.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1OI,Red Panda,Q1OI,Oceania,Australia,au,22,1594.0,4–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1LA,Balkan Tuah,A1LA,Oceania,Australia,au,23,1584.0,2–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
M1IE,Monkey Wall Street,M1IE,Oceania,Australia,au,24,1579.0,3–2,147.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X16W,PLUG,X16W,Oceania,International,,25,1570.0,0–0,662.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
XOP,Koopa Troopas,XOP,Oceania,Australia,au,26,1559.0,12–18,6240.0,,Valorant,https://owcdn.net/img/673479a959e77.png
YYM,club penguin,YYM,Oceania,Australia,au,27,1551.0,14–13,433.0,,Valorant,https://owcdn.net/img/6695f81820f38.png
Y1DO,DXA Esports,Y1DO,Oceania,Australia,au,28,1550.0,3–3,0.0,,Valorant,https://owcdn.net/img/65e94da644ec5.png
Y1B2,DINGLE GOOGY,Y1B2,Oceania,Australia,au,29,1538.0,3–5,1000.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1LE,Inferno Gaming,A1LE,Oceania,Australia,au,30,1530.0,3–6,0.0,,Valorant,https://owcdn.net/img/67b50e7d78c74.png
B1KX,Randoms,B1KX,Oceania,Australia,au,31,1528.0,3–6,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1FI,Dreams To Legends,A1FI,Oceania,Australia,au,32,1519.0,4–8,0.0,,Valorant,https://owcdn.net/img/65e5c5dac4901.png
X1DO,BarackObamaPizza,X1DO,Oceania,International,,33,1507.0,1–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1IF,Altered Edge,Z1IF,Oceania,Australia,au,34,1504.0,5–9,123.0,,Valorant,https://owcdn.net/img/672782fb1a438.png
M1DN,Infernum,M1DN,Oceania,Australia,au,35,1500.0,1–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1DP,Light work,W1DP,Oceania,International,,36,1484.0,3–8,123.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1H5,Tiny Turtle Squad,Q1H5,Oceania,International,,37,1481.0,7–13,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1IF,Nemesis,X1IF,Oceania,Australia,au,38,1474.0,6–12,123.0,,Valorant,https://owcdn.net/img/6724868369402.png
M1FH,Bandit ESC,M1FH,Oceania,Australia,au,39,1468.0,3–10,0.0,,Valorant,https://owcdn.net/img/65e6e6d294bf6.png
Q7U,Salt n Pepper,Q7U,Oceania,Australia,au,40,1441.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1IF,Neptune,A1IF,Oceania,Australia,au,41,1440.0,3–11,0.0,,Valorant,https://owcdn.net/img/66ab092710db1.png
TPJ,KRÜ BLAZE,TPJ,Game Changers,Chile,,2,1789.0,26–3,114283.0,,Valorant,https://owcdn.net/img/6704ad6a515a1.png
BX3,Team Falcons Vega,BX3,Game Changers,Saudi Arabia,,3,1779.0,48–11,94597.0,,Valorant,https://owcdn.net/img/634277afb6e03.png
B1EH,GIANTX GC,B1EH,Game Changers,Europe,,8,1654.0,25–17,51769.0,,Valorant,https://owcdn.net/img/657b2f3fcd199.png
Z1GA,YFP X,Z1GA,Game Changers,United States,us,9,1653.0,38–10,18500.0,,Valorant,https://owcdn.net/img/679dea8b44b77.png
BLA,MAD Army,BLA,Game Changers,Thailand,th,10,1621.0,13–5,58900.0,,Valorant,https://owcdn.net/img/616506518edfd.png
YH5,Corinthians Esports Inclusivo,YH5,Game Changers,Brazil,br,11,1588.0,17–9,60662.0,,Valorant,https://owcdn.net/img/67665f186e8a8.png
Z1OE,Karmine Corp GC,Z1OE,Game Changers,Europe,,12,1579.0,10–1,0.0,,Valorant,https://owcdn.net/img/627403a0d9e48.png
T1EF,Twisted Minds Orchid,T1EF,Game Changers,Saudi Arabia,,13,1560.0,46–22,16720.0,,Valorant,https://owcdn.net/img/64cca8a13521a.png
Q1NP,SK Nebula,Q1NP,Game Changers,Europe,,14,1554.0,15–4,4695.0,,Valorant,https://owcdn.net/img/659ecda9c6382.png
Z1E8,VALIANT GC,Z1E8,Game Changers,France,fr,15,1548.0,11–10,8121.0,,Valorant,https://owcdn.net/img/63a53368d2675.png
B1HG,Mir Gaming GC,B1HG,Game Changers,South Korea,kr,16,1538.0,11–1,9035.0,,Valorant,https://owcdn.net/img/6677ee683d04a.png
V167,The Ultimates Odyssey,V167,Game Changers,Saudi Arabia,,17,1519.0,27–21,28199.0,,Valorant,https://owcdn.net/img/5fbf8f630cbfa.png
HVND,BLVKHVND,HVND,Game Changers,Turkey,tr,18,1517.0,29–15,1896.0,,Valorant,https://owcdn.net/img/660b344c3cf7a.png
Q1BV,Papa's Pizzeria,Q1BV,Game Changers,Australia,au,19,1516.0,12–4,2428.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
VVY,REIGNITE Lily,VVY,Game Changers,Japan,jp,20,1512.0,8–3,4969.0,,Valorant,https://owcdn.net/img/634006b15d271.png
MVX,FENNEL GC,MVX,Game Changers,Japan,jp,21,1511.0,10–7,24957.0,,Valorant,https://owcdn.net/img/60d3986152cd4.png
M1P6,Ascend,M1P6,Game Changers,Philippines,ph,22,1509.0,7–3,2500.0,,Valorant,https://owcdn.net/img/67a05c7dc3621.png
W1HR,Gamax Lite,W1HR,Game Changers,Egypt,,23,1506.0,17–3,1471.0,,Valorant,https://owcdn.net/img/64c0df3369bcd.png
W1EE,Zerance Mint,W1EE,Game Changers,France,fr,24,1504.0,32–19,3458.0,,Valorant,https://owcdn.net/img/65b2950eb330a.png
T1HN,FOKUS Sakura,T1HN,Game Changers,Germany,de,25,1498.0,29–18,3145.0,,Valorant,https://owcdn.net/img/65bd337798814.png
Y1I4,swaglord9000,Y1I4,Game Changers,Australia,au,26,1492.0,11–2,2419.0,,Valorant,https://owcdn.net/img/66c3c4cdc06d6.png
W1C9,HEROIC Valkyries,W1C9,Game Changers,Europe,,27,1491.0,15–20,6420.0,,Valorant,https://owcdn.net/img/664f807e151f4.png
W15X,ALTERNATE aTTaX Ruby,W15X,Game Changers,Germany,de,28,1484.0,49–22,12992.0,,Valorant,https://owcdn.net/img/62a1d1c3e765e.png
V196,RIMA GC,V196,Game Changers,Singapore,sg,29,1480.0,12–6,1000.0,,Valorant,https://owcdn.net/img/66078ec9d0474.png
Q1FX,Kitty Nya Nya,Q1FX,Game Changers,Singapore,sg,30,1477.0,17–9,1000.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1NR,DVM Miss,V1NR,Game Changers,Europe,,31,1475.0,9–2,0.0,,Valorant,https://owcdn.net/img/655b561ac3306.png
V1O9,2Game Esports GC,V1O9,Game Changers,Brazil,br,32,1470.0,9–2,2068.0,,Valorant,https://owcdn.net/img/67725c368d524.png
Z17Y,LUX GC,Z17Y,Game Changers,Philippines,ph,33,1469.0,13–7,500.0,,Valorant,https://owcdn.net/img/66d80d35060b8.png
W1NP,Dango sellers,W1NP,Game Changers,International,,34,1461.0,10–4,1050.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1GB,Kinetic,X1GB,Game Changers,United States,us,35,1459.0,9–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1HV,Team Galaga Kitsune,Q1HV,Game Changers,Spain,es,36,1457.0,14–8,0.0,,Valorant,https://owcdn.net/img/60190283036b6.png
Q1P8,LILAX,Q1P8,Game Changers,Thailand,th,37,1456.0,5–3,500.0,,Valorant,https://owcdn.net/img/67d14378a05f2.png
B1I1,charbon,B1I1,Game Changers,France,fr,38,1456.0,8–3,814.0,,Valorant,https://owcdn.net/img/66883cd77f63a.png
M1H1,Puppy Cuddle Pile,M1H1,Game Changers,United States,us,39,1456.0,6–0,1000.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1P6,Precision Power Quickness,T1P6,Game Changers,Indonesia,id,40,1454.0,6–3,1000.0,,Valorant,https://owcdn.net/img/67d408593bf22.png
Y1HW,Formulation GC,Y1HW,Game Changers,Europe,,41,1454.0,23–14,254.0,,Valorant,https://owcdn.net/img/6583ce375398a.png
T1GB,Cafe Coke,T1GB,Game Changers,United States,us,42,1453.0,11–5,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y18M,Solidarity,Y18M,Game Changers,United States,us,44,1449.0,0–0,200.0,,Valorant,https://owcdn.net/img/64d9183e2aaca.png
W1O0,:3,W1O0,Game Changers,United States,us,45,1449.0,9–5,750.0,,Valorant,https://owcdn.net/img/6519ca99df26a.png
W1NR,Al-Qadsiah Esports GC,W1NR,Game Changers,Turkey,tr,46,1448.0,8–3,0.0,,Valorant,https://owcdn.net/img/672b6e5ef0749.png
W1DK,DRX Changers,W1DK,Game Changers,Japan,jp,48,1443.0,8–4,989.0,,Valorant,https://owcdn.net/img/63b17abd77fc0.png
W1P3,LEVIATÁN GC,W1P3,Game Changers,Chile,,49,1443.0,4–0,0.0,,Valorant,https://owcdn.net/img/61b8888cc3860.png
B1PA,Aussie and Friends,B1PA,Game Changers,United States,us,50,1443.0,4–0,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1PA,FUSION X,T1PA,Game Changers,Mexico,,51,1441.0,4–0,0.0,,Valorant,https://owcdn.net/img/63bde15e27452.png
W1PQ,Ainda estamos aqui,W1PQ,Game Changers,Brazil,br,52,1440.0,6–2,345.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1NT,NOVO Nightingale,Q1NT,Game Changers,Italy,it,53,1440.0,9–2,0.0,,Valorant,https://owcdn.net/img/679b31bdacfbf.png
A1PB,Overkill,A1PB,Game Changers,United States,us,54,1439.0,4–1,0.0,,Valorant,https://owcdn.net/img/63733a630dd07.png
B1KA,Ambitious Legend Gaming GC,B1KA,Game Changers,China,cn,55,1439.0,4–2,24000.0,,Valorant,https://owcdn.net/img/66afb234af337.png
T1NL,SUPERKAT,T1NL,Game Changers,United States,us,56,1438.0,6–0,1000.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1P6,6 to 12,B1P6,Game Changers,Philippines,ph,57,1437.0,4–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1GG,Cyber Geek,Z1GG,Game Changers,Japan,jp,58,1437.0,6–4,659.0,,Valorant,https://owcdn.net/img/668a78b511b4d.png
A1EK,University War GC,A1EK,Game Changers,Chile,,59,1435.0,12–14,3231.0,,Valorant,https://owcdn.net/img/65df25f7afcad.png
Y1PC,Akave Esports GC,Y1PC,Game Changers,International,,60,1435.0,4–0,0.0,,Valorant,https://owcdn.net/img/61da5f0488060.png
Y1P7,Super Shy Girls,Y1P7,Game Changers,Vietnam,vn,61,1433.0,4–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1NS,KBV,B1NS,Game Changers,International,,62,1433.0,7–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1P7,4Fun,Q1P7,Game Changers,Philippines,ph,63,1433.0,4–2,0.0,,Valorant,https://owcdn.net/img/67cc0893e9ea3.png
Q15Z,Frogs on Fire,Q15Z,Game Changers,Germany,de,64,1433.0,0–0,1600.0,,Valorant,https://owcdn.net/img/64b21d58abc3e.png
X1IS,No Sweat Blossom,X1IS,Game Changers,International,,65,1433.0,17–10,251.0,,Valorant,https://owcdn.net/img/67bec33c1d719.png
V1P8,BAS.Kitsune,V1P8,Game Changers,International,,66,1432.0,4–2,0.0,,Valorant,https://owcdn.net/img/660833aa408e6.png
Q1PB,Shrimp Gaming,Q1PB,Game Changers,United States,us,67,1430.0,4–1,0.0,,Valorant,https://owcdn.net/img/679e9b469bc8d.png
M1IG,VIM Eclipse,M1IG,Game Changers,International,,68,1428.0,7–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Z1P8,Vendetta Serpent,Z1P8,Game Changers,Indonesia,id,69,1428.0,4–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Q1AM,Team Script GC,Q1AM,Game Changers,France,fr,70,1427.0,0–0,275.0,,Valorant,https://owcdn.net/img/652c42413848f.png
W1GA,friends,W1GA,Game Changers,United States,us,71,1427.0,7–4,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
T1CH,TEE-ONE,T1CH,Game Changers,International,,72,1426.0,0–0,200.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1JL,Elation Vortex,X1JL,Game Changers,United States,us,73,1426.0,6–5,1000.0,,Valorant,https://owcdn.net/img/66ec7034ef15c.png
M1O3,Las Cabras GC,M1O3,Game Changers,Chile,,74,1425.0,7–4,0.0,,Valorant,https://owcdn.net/img/67c6b202d1a60.png
Z1P0,AlQadsiah Corals,Z1P0,Game Changers,International,,75,1425.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1NS,DECIDERS,V1NS,Game Changers,International,,76,1425.0,7–3,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1HF,URACHACHA GC,W1HF,Game Changers,South Korea,kr,77,1424.0,6–4,4357.0,,Valorant,https://owcdn.net/img/66a357aa37d78.png
X13Q,Pepitas Gamers,X13Q,Game Changers,Argentina,,78,1424.0,12–14,12222.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
B1P5,FULL SENSE Catz,B1P5,Game Changers,Thailand,th,79,1424.0,4–3,250.0,,Valorant,https://owcdn.net/img/6537a7954d915.png
B1NP,Permitta Unicorns GC,B1NP,Game Changers,Germany,de,80,1423.0,8–4,0.0,,Valorant,https://owcdn.net/img/66459f1d82543.png
M1P9,3 AM Monkeys,M1P9,Game Changers,Philippines,ph,81,1423.0,4–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
W1P7,Annoying Cutie,W1P7,Game Changers,International,,82,1421.0,4–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
V1FX,XTRIAL 1 Esports,V1FX,Game Changers,Thailand,th,83,1421.0,7–4,0.0,,Valorant,https://owcdn.net/img/66124c38754a3.png
Q1O1,Fisher Fumblers,Q1O1,Game Changers,United States,us,84,1421.0,6–6,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
Y1KB,Give Wingman Her Last Nuclear Device,Y1KB,Game Changers,International,,85,1421.0,3–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
A1PC,Antares Esports GC,A1PC,Game Changers,International,,86,1419.0,3–1,0.0,,Valorant,https://owcdn.net/img/673b0ac08585e.png
Q18P,CREST GAMING Stellar,Q18P,Game Changers,Japan,jp,87,1419.0,0–0,0.0,,Valorant,https://owcdn.net/img/63a33a790ae62.png
M1AM,QLASH Syrax,M1AM,Game Changers,Europe,,88,1418.0,0–0,0.0,,Valorant,https://owcdn.net/img/5f9844c93e248.png
M1NV,Nuxeria GC,M1NV,Game Changers,France,fr,89,1418.0,5–2,0.0,,Valorant,https://www.vlr.gg/img/vlr/tmp/vlr.png
X1NQ,XPERION NXT HANAMI,X1NQ,Game Changers,International,,90,1418.0,7–4,0.0,,Valorant,https://owcdn.net/img/663b1e3e5e827.png
